#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2022-07-17-22-48-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1656434297.787674	Ch7lGb39KJ8QVJBoTk	10.6.21.10	54889	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787674	CilEKO1ZWh5ODkuSwd	10.6.21.10	54908	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787674	CnuDhM2kFAJMvqMAmd	10.6.21.10	54901	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787713	C8sq0bwzRRlpoJcO8	10.6.21.10	54932	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787713	CYsDDHHbczpRdKazf	10.6.21.10	54913	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787713	CYmJiz29Ho5nbD4B7f	10.6.21.10	54895	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787713	CopUad3M5Dg7BZ3Ca4	10.6.21.10	54912	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787713	CS0rpt1gwIYGoTENKf	10.6.21.10	54902	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787741	CNrWuy2TvWKBOJLYK1	10.6.21.10	54921	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787741	CBZZqx4WtomNBJFOBi	10.6.21.10	54934	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787841	CUKhCG1JSG6i5eHyBd	10.6.21.10	54926	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787841	CtjOPa19YlrE8BO0pl	10.6.21.10	54886	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787841	CfjBvM2VDK8GhmM2X2	10.6.21.10	54903	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787841	CwBiFC4vX9WIoDOr3i	10.6.21.10	54904	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787893	C3PDuv2wDDpnjDHFFf	10.6.21.10	54919	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787893	CafaC11fziIV486Zd3	10.6.21.10	54936	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.787893	CElNHI3wrXYjPua4oe	10.6.21.10	54890	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
